EmployeeID,FirstName,LastName,Gender,Department,MaritalStatus,AgeGroup,Years_at_Company,Salary,HireDate,Source,Email
78,First78,Last78,Female,Finance,Divorced,41-50,16,131074,2010-03-19,LinkedIn,employee78@company.com
79,First79,Last79,Female,IT,Single,41-50,13,47805,2010-03-20,LinkedIn,employee79@company.com
80,First80,Last80,Male,Finance,Married,51-60,13,66231,2010-03-21,Job Board,employee80@company.com
81,First81,Last81,Female,HR,Married,20-30,17,41061,2010-03-22,Referral,employee81@company.com
82,First82,Last82,Male,HR,Married,51-60,4,64643,2010-03-23,Referral,employee82@company.com
83,First83,Last83,Male,Marketing,Married,20-30,15,80690,2010-03-24,LinkedIn,employee83@company.com
84,First84,Last84,Female,IT,Single,31-40,5,129772,2010-03-25,Job Board,employee84@company.com
85,First85,Last85,Male,Finance,Divorced,31-40,11,40671,2010-03-26,Referral,employee85@company.com
86,First86,Last86,Male,Sales,Divorced,41-50,17,40073,2010-03-27,LinkedIn,employee86@company.com
87,First87,Last87,Male,Sales,Married,31-40,5,69510,2010-03-28,Campus,employee87@company.com
88,First88,Last88,Male,Finance,Divorced,31-40,16,118995,2010-03-29,LinkedIn,employee88@company.com
89,First89,Last89,Female,Sales,Married,31-40,6,133005,2010-03-30,Referral,employee89@company.com
90,First90,Last90,Female,IT,Divorced,51-60,3,86748,2010-03-31,LinkedIn,employee90@company.com
91,First91,Last91,Female,Finance,Single,41-50,14,58868,2010-04-01,Referral,employee91@company.com
92,First92,Last92,Male,Marketing,Divorced,20-30,5,59952,2010-04-02,Job Board,employee92@company.com
93,First93,Last93,Female,Marketing,Divorced,20-30,16,37278,2010-04-03,Campus,employee93@company.com
94,First94,Last94,Male,IT,Married,51-60,19,120652,2010-04-04,Campus,employee94@company.com
95,First95,Last95,Male,Finance,Single,31-40,2,62580,2010-04-05,Job Board,employee95@company.com
96,First96,Last96,Female,Finance,Divorced,31-40,13,118222,2010-04-06,Referral,employee96@company.com
97,First97,Last97,Male,Marketing,Divorced,51-60,13,118524,2010-04-07,Referral,employee97@company.com
98,First98,Last98,Female,HR,Divorced,51-60,18,82276,2010-04-08,Job Board,employee98@company.com
99,First99,Last99,Male,Marketing,Divorced,20-30,4,119326,2010-04-09,Campus,employee99@company.com
100,First100,Last100,Male,Finance,Single,41-50,12,61741,2010-04-10,Job Board,employee100@company.com
